ID_Agencia,Hotel_cve,Agencia_cve,Agencia_nombre,Ciudad_Nombre,Estado_cve,Pais_cod,ID_Entidad_Fed_Agencia,ID_Vendedor
0,|,PAR,PARTICULAR,PARTICULAR,|,|,0,0
1,AZU,"AA       ","ALCOHOLICOS ANONIMOS ""A.A.""                                                                         ","CD DE MEXICO                                                ","EDF   ","PMX   ",107,0
2,AZU,"ACARVAS  ",HOTELES S.A.,"IXTAPA                                                      ","EGR   ","PMX   ",142,0
3,AZU,"ADVANTAG ","RESORT ADVANTAGE                                                                                    ","MEXICO CITY                                                 ","EMX   ","PMX   ",236,0
4,AZU,"AEROMEX  ","BESTDAY - AEROMEXICO                                                                                ","CANCUN                                                      ","EQR   ","PMX   ",294,0
5,AZU,"ALIANZA  ","ALIANZA  COOPERATIVA INTERNACIONAL- CIF:3003123961                                                  ","COSTA RICA                                                  ","ECRI  ","PCR   ",64,0
6,AZU,"AMEPRES  ","ASOCIACION MEXICANA DE PROFESIONALES EN REGULACION                                                  ","DEL. CUAUHTEMOC                                             ","EMX   ","PMX   ",236,0
7,AZU,"ANGELES  ","MA DE LOS ANGELES LICEA QUINTANAR / QUERUBINES                                                      ","QUERETARO                                                   ","EQE   ","PMX   ",293,0
8,AZU,"APPLE    ","APPLE VACATIONS COMPANY                                                                             ","ELK GROVE VILLA                                             ","EIL   ","PUS   ",163,0
9,AZU,"ASES     ","ASES TOURS S.A. DE C.V.                                                                             ","LOS REYES                                                   ","EMC   ","PMX   ",206,0
10,AZU,"ASPID    ","ASPID, S.A. DE C.V.                                                                                 ","CD MEXICO                                                   ","EDF   ","PMX   ",107,0
11,AZU,"ASUNWING ","SUNWING VACATION                                                                                    ","ASUNWING ","EON   ","PCA   ",270,0
12,AZU,AZULSITIO,HOTELES S.A.,"CANCUN                                                      ","EQR   ","PMX   ",294,0
13,AZU,"BENIGNOV ","BENIGNO VELAZQUEZ                                                                                   ","BENIGNOV ","EMX   ","PMX   ",236,0
14,AZU,"BESTDAY  ","BESTDAY TRAVEL GROUP                                                                                ","CANCÚN                                                      ","EQR   ","PMX   ",294,0
15,AZU,"BIMBO    ","BIMBO, SA DE CV                                                                                     ","CUAUHTEMOC                                                  ","EDF   ","PMX   ",107,0
16,AZU,"BOOKING  ","BOOKING.COM                                                                                         ","MEXICO CITY                                                 ","EMX   ","PMX   ",236,0
17,AZU,"BOOKIT   ","BOOKIT.COM                                                                                          ","PANAMA CITY                                                 ","EFL   ","PUS   ",123,0
18,AZU,"BOOKMX   ","BOOKING MEXICO                                                                                      ","LEON                                                        ","EGT   ","PMX   ",145,0
19,AZU,"BTC      ","BUSINESS TRAVEL CONSULTING, S.A. DE C.V.                                                            ","CIUDAD DE MEXIC                                             ","EDF   ","PMX   ",107,0
20,AZU,"CASTILLO ","SANDRA CASTILLO                                                                                     ","ESTADO DE MEXIC                                             ","EMX   ","PMX   ",236,0
21,AZU,"CEFAMIXT ",HOTELES S.A.,"ZIHUATANEJO                                                 ","EGR   ","PMX   ",142,0
22,AZU,"CENGAGE  ","CORAD MEETING PLANNER S.A. DE C.V.                                                                  ","MEXICO                                                      ","EDF   ","PMX   ",107,0
23,AZU,"CHARTER  ","CHARTER GO                                                                                          ","LEON                                                        ","EGT   ","PMX   ",145,0
24,AZU,CHEAPCARI,"CHEAP CARIBBEAN                                                                                     ","ELK GROVE VILLA                                             ","EIL   ","PUS   ",163,0
25,AZU,"CIRCULO  ","CIRCULO AZUL ELITE                                                                                  ","INSURGENTES MIX                                             ","EMX   ","PMX   ",236,0
26,AZU,"CLICKBJX ","CLICK OPERADORA LEON                                                                                ","MORELIA                                                     ","EMC   ","PMX   ",206,0
27,AZU,"CLICKMLM ","CLICK OPERADORA MORELIA                                                                             ","MORELIA                                                     ","EMC   ","PMX   ",206,0
28,AZU,"CLICKQRO ","CLICK OPERADORA QUERETARO                                                                           ","MORELIA                                                     ","EMC   ","PMX   ",206,0
29,AZU,CLUBMEXIC,"JOSE ALLENDE DE LA ROSA                                                                             ","IXTAPA                                                      ","EGR   ","PMX   ",142,0
30,AZU,"COOPERAT ","COOPERATIVA LA CRUZ AZUL SCL                                                                        ","COYOACAN                                                    ",AZU,"      ",0,0
31,AZU,"COPPEL   ","JUNTA ANUAL BANCA COMERCIAL BANCOPPEL 2020                                                          ","MIGUEL HIDALGO                                              ","EMX   ","PMX   ",236,0
32,AZU,"CORTESIA ",HOTELES S.A.,"IXTAPA                                                      ","EGR   ","PMX   ",142,0
33,AZU,"CRUZAZUL ","CRUZ AZUL CORPORATIVO                                                                               ","DEL. COYOACAN                                               ","EMX   ","PMX   ",236,0
34,AZU,"CRUZFUT  ","CRUZ AZUL FUTBOL CLUB A.C.                                                                          ","CD MEXICO                                                   ","EMX   ","PMX   ",236,0
35,AZU,"CTRAVEL  ","ALFREDO ARCE AGUILAR (COORDITRAVEL)                                                                 ","CD CUAUHTEMOC                                               ","ECH   ","PMX   ",53,0
36,AZU,"CTS      ","CORPORATE TRAVEL SERVICES WORLDWIDE, SAPI DE CV                                                     ","MIGUEL HIDALGO                                              ","EDF   ","PMX   ",107,0
37,AZU,"DELTA    ","DELTA VACATIONS                                                                                     ","ATLANTA                                                     ","EGA   ","PUS   ",128,0
38,AZU,"DESPEGAR ","DESPEGAR.COM                                                                                        ","MEXICO CITY                                                 ","EMX   ","PMX   ",236,0
